数据集名称: E:/rf_datasets/
===== 随机搜索结果 =====
[组合 1] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 26.93% | Val Acc: 26.81% | Test Acc: 26.80%
[组合 2] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 23.96% | Val Acc: 23.95% | Test Acc: 23.45%
[组合 3] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 27.55% | Val Acc: 27.50% | Test Acc: 27.32%
[组合 4] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 24.59% | Val Acc: 24.43% | Test Acc: 21.31%
[组合 5] 参数: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 29.87% | Val Acc: 29.72% | Test Acc: 29.89%
[组合 6] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 16.57% | Val Acc: 16.44% | Test Acc: 14.44%
[组合 7] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 33.49% | Val Acc: 33.67% | Test Acc: 32.58%
[组合 8] 参数: {'model_dim': 256, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 26.95% | Val Acc: 26.81% | Test Acc: 26.47%
[组合 9] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 31.48% | Val Acc: 31.35% | Test Acc: 31.32%
[组合 10] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 27.63% | Val Acc: 27.51% | Test Acc: 27.20%
[组合 11] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 46.97% | Val Acc: 46.50% | Test Acc: 45.03%
